backend,concurrency,repetition,worker,state,completion_ms,wall_ms,throughput_per_s,peak_tree_rss_mib,idle_rss_mib,prepare_ms,errors,expected_errors,correct,reported_version
lsp-standard,1,0,1,valid,17.623483,46.850828,21.344339954888312,4563.98046875,4551.140625,11911.661865,0,0,True,1
lsp-standard,1,0,1,error,38.277122,49.74689,20.10175912504279,4566.81640625,4551.140625,11911.661865,1,1,True,2
lsp-standard,1,0,1,repair,37.828624,51.908263,19.26475559392153,4575.23828125,4551.140625,11911.661865,0,0,True,3
lsp-standard,1,1,1,valid,17.564151,46.985193,21.28330089013362,4579.3046875,4551.140625,11911.661865,0,0,True,4
lsp-standard,1,1,1,error,35.133653,50.58337,19.769343165550257,4583.39453125,4551.140625,11911.661865,1,1,True,5
lsp-standard,1,1,1,repair,36.745238,51.336212,19.479427114723617,4585.5078125,4551.140625,11911.661865,0,0,True,6
lsp-standard,1,2,1,valid,16.526451,49.479475,20.210400373083992,4589.5625,4551.140625,11911.661865,0,0,True,7
lsp-standard,1,2,1,error,38.038241,49.821391,20.071699724321228,4593.609375,4551.140625,11911.661865,1,1,True,8
lsp-standard,1,2,1,repair,42.689447,48.820009,20.483404663034783,4595.71875,4551.140625,11911.661865,0,0,True,9
lsp-standard,1,3,1,valid,35.670817,49.195038,20.32725332989884,4599.82421875,4551.140625,11911.661865,0,0,True,10
lsp-standard,1,3,1,error,71.165293,96.339381,10.379971197863519,4603.9921875,4551.140625,11911.661865,1,1,True,11
lsp-standard,1,3,1,repair,77.6429,101.163725,9.884966177352604,4610.3671875,4551.140625,11911.661865,0,0,True,12
lsp-standard,1,4,1,valid,19.99815,50.209473,19.91656036700485,4614.421875,4551.140625,11911.661865,0,0,True,13
lsp-standard,1,4,1,error,63.603247,97.08025,10.300756333033751,4622.57421875,4551.140625,11911.661865,1,1,True,14
lsp-standard,1,4,1,repair,35.098587,51.571166,19.390680443409018,4626.69921875,4551.140625,11911.661865,0,0,True,15
lsp-custom,1,0,1,valid,16.903123,48.170563,20.759566376668673,4562.78125,4542.30078125,11796.711167000001,0,0,True,1
lsp-custom,1,0,1,error,52.422986,95.821122,10.436112405362984,4570.80859375,4542.30078125,11796.711167000001,1,1,True,2
lsp-custom,1,0,1,repair,36.948221,48.867629,20.463444215801836,4573.1015625,4542.30078125,11796.711167000001,0,0,True,3
lsp-custom,1,1,1,valid,21.441176,47.594794,21.010701296448516,4577.12109375,4542.30078125,11796.711167000001,0,0,True,4
lsp-custom,1,1,1,error,38.313371,49.043883,20.389902651060478,4581.13671875,4542.30078125,11796.711167000001,1,1,True,5
lsp-custom,1,1,1,repair,36.304786,49.637003,20.146260643496145,4587.12890625,4542.30078125,11796.711167000001,0,0,True,6
lsp-custom,1,2,1,valid,16.786784,46.981185,21.28511658443694,4591.13671875,4542.30078125,11796.711167000001,0,0,True,7
lsp-custom,1,2,1,error,38.682878,49.442124,20.22566829855449,4595.140625,4542.30078125,11796.711167000001,1,1,True,8
lsp-custom,1,2,1,repair,35.940868,51.050093,19.588602904210184,4599.140625,4542.30078125,11796.711167000001,0,0,True,9
lsp-custom,1,3,1,valid,15.889819,47.823897,20.910048380206238,4601.140625,4542.30078125,11796.711167000001,0,0,True,10
lsp-custom,1,3,1,error,37.165261,50.170351,19.932090967432142,4605.140625,4542.30078125,11796.711167000001,1,1,True,11
lsp-custom,1,3,1,repair,35.783572,51.039863,19.592529078692866,4607.1328125,4542.30078125,11796.711167000001,0,0,True,12
lsp-custom,1,4,1,valid,16.743451,47.0419,21.25764478050419,4611.1484375,4542.30078125,11796.711167000001,0,0,True,13
lsp-custom,1,4,1,error,37.461391,49.475909,20.211857047436965,4615.13671875,4542.30078125,11796.711167000001,1,1,True,14
lsp-custom,1,4,1,repair,45.365142,50.76881,19.69713294442001,4617.1484375,4542.30078125,11796.711167000001,0,0,True,15
cli-snapshot,1,0,1,valid,7933.213836,7957.328354,0.12567031992557134,3807.16015625,0.0,14455.022508999999,0,0,True,1
cli-snapshot,1,0,1,error,7922.941744,7938.186475,0.12597335715775057,3813.546875,0.0,14455.022508999999,1,1,True,2
cli-snapshot,1,0,1,repair,8442.721521,8468.224962,0.11808850195730074,3893.7578125,0.0,14455.022508999999,0,0,True,3
cli-snapshot,1,1,1,valid,7936.256687,7958.513784,0.12565160118343022,3805.875,0.0,14455.022508999999,0,0,True,4
cli-snapshot,1,1,1,error,8673.141551,8680.746438,0.11519746684714764,3903.109375,0.0,14455.022508999999,1,1,True,5
cli-snapshot,1,1,1,repair,8046.659917,8070.664296,0.12390553780010675,3921.96875,0.0,14455.022508999999,0,0,True,6
cli-snapshot,1,2,1,valid,8476.889673,8499.786149,0.11765001877343115,3852.68359375,0.0,14455.022508999999,0,0,True,7
cli-snapshot,1,2,1,error,7940.733698,7974.237183,0.12540384453723866,3901.76953125,0.0,14455.022508999999,1,1,True,8
cli-snapshot,1,2,1,repair,8559.566193,8612.272776,0.11611336821410498,3870.61328125,0.0,14455.022508999999,0,0,True,9
cli-snapshot,1,3,1,valid,9262.715117,10162.767824,0.09839839080436714,3920.1328125,0.0,14455.022508999999,0,0,True,10
cli-snapshot,1,3,1,error,8643.459969,8664.520236,0.11541319920347405,3878.58203125,0.0,14455.022508999999,1,1,True,11
cli-snapshot,1,3,1,repair,7868.561431,7879.481511,0.12691190386118287,3799.7734375,0.0,14455.022508999999,0,0,True,12
cli-snapshot,1,4,1,valid,7904.33235,8180.883506,0.12223618625868256,3849.921875,0.0,14455.022508999999,0,0,True,13
cli-snapshot,1,4,1,error,8525.648486,9250.206214,0.10810569806395454,3805.56640625,0.0,14455.022508999999,1,1,True,14
cli-snapshot,1,4,1,repair,9917.613424,10184.638775,0.09818708567796014,3909.1015625,0.0,14455.022508999999,0,0,True,15
language-full,1,0,1,valid,0.810361,52.166334,19.169451317012232,3752.234375,3733.9453125,7020.688378,0,0,True,1
language-full,1,0,1,error,4.089175,47.420208,21.08805596128975,3752.24609375,3733.9453125,7020.688378,0,1,False,2
language-full,1,0,1,repair,3.070631,47.24111,21.168003884752075,3752.24609375,3733.9453125,7020.688378,0,0,True,3
language-full,1,1,1,valid,0.681297,45.396344,22.02820561937763,3752.24609375,3733.9453125,7020.688378,0,0,True,4
language-full,1,1,1,error,4.863088,46.165567,21.66116577751552,3749.40234375,3733.9453125,7020.688378,0,1,False,5
language-full,1,1,1,repair,3.825838,46.975267,21.287798108736666,3749.8046875,3733.9453125,7020.688378,0,0,True,6
language-full,1,2,1,valid,0.77807,45.306785,22.07174929759417,3749.8046875,3733.9453125,7020.688378,0,0,True,7
language-full,1,2,1,error,4.615871,45.817189,21.82586976254698,3749.84375,3733.9453125,7020.688378,0,1,False,8
language-full,1,2,1,repair,4.41458,49.186234,20.33089176943289,3749.8828125,3733.9453125,7020.688378,0,0,True,9
language-full,1,3,1,valid,0.67769,46.381886,21.56014095675195,3749.8828125,3733.9453125,7020.688378,0,0,True,10
language-full,1,3,1,error,3.514169,47.227875,21.173935943550287,3749.88671875,3733.9453125,7020.688378,0,1,False,11
language-full,1,3,1,repair,2.761507,46.221132,21.635125682339414,3749.88671875,3733.9453125,7020.688378,0,0,True,12
language-full,1,4,1,valid,0.716203,45.501684,21.97720857979674,3749.88671875,3733.9453125,7020.688378,0,0,True,13
language-full,1,4,1,error,2.727202,46.340258,21.57950868551487,3749.88671875,3733.9453125,7020.688378,0,1,False,14
