strategy,repetition,visit,round,worker,state,cold_file,completion_ms,peak_rss_mib,resident_rss_mib,errors,expected_errors,correct
cli-snapshot,0,1,1,1,valid,True,14257.703469,4110.6953125,0.0,0,0,True
cli-snapshot,0,2,1,2,valid,True,14466.26341,4074.671875,0.0,0,0,True
cli-snapshot,0,3,1,3,valid,True,14558.107252999998,4116.1484375,0.0,0,0,True
cli-snapshot,0,4,1,4,valid,True,14572.428385,4077.31640625,0.0,0,0,True
cli-snapshot,0,5,2,1,error,False,7936.000584,3893.46875,0.0,1,1,True
cli-snapshot,0,6,2,2,error,False,8426.568708,3856.0703125,0.0,1,1,True
cli-snapshot,0,7,2,3,error,False,8432.016843,3892.18359375,0.0,1,1,True
cli-snapshot,0,8,2,4,error,False,7937.602314,3904.4453125,0.0,1,1,True
cli-snapshot,0,9,3,1,repair,False,8021.213899,3829.92578125,0.0,0,0,True
cli-snapshot,0,10,3,2,repair,False,8439.844791,3870.64453125,0.0,0,0,True
cli-snapshot,0,11,3,3,repair,False,7903.351711,3880.37890625,0.0,0,0,True
cli-snapshot,0,12,3,4,repair,False,8434.506619,3867.23828125,0.0,0,0,True
lake-build,0,1,1,1,valid,True,6903.942308,3905.41796875,0.0,0,0,True
lake-build,0,2,1,2,valid,True,6934.577949,3914.5390625,0.0,0,0,True
lake-build,0,3,1,3,valid,True,6808.103002,3907.72265625,0.0,0,0,True
lake-build,0,4,1,4,valid,True,6607.665583,3902.7890625,0.0,0,0,True
lake-build,0,5,2,1,error,False,6835.257925,3912.296875,0.0,1,1,True
lake-build,0,6,2,2,error,False,6736.722378,3914.26953125,0.0,1,1,True
lake-build,0,7,2,3,error,False,6809.33195,3908.82421875,0.0,1,1,True
lake-build,0,8,2,4,error,False,6757.588416,3881.47265625,0.0,1,1,True
lake-build,0,9,3,1,repair,False,6752.314352,3932.51171875,0.0,0,0,True
lake-build,0,10,3,2,repair,False,6956.821988,3902.62890625,0.0,0,0,True
lake-build,0,11,3,3,repair,False,6961.68483,3918.80078125,0.0,0,0,True
